,CRASHES
2018-01-01,435
2018-01-02,610
2018-01-03,619
2018-01-04,439
2018-01-05,676
2018-01-06,565
2018-01-07,447
2018-01-08,675
2018-01-09,647
2018-01-10,648
2018-01-11,648
2018-01-12,652
2018-01-13,571
2018-01-14,472
2018-01-15,493
2018-01-16,579
2018-01-17,585
2018-01-18,597
2018-01-19,565
2018-01-20,503
2018-01-21,392
2018-01-22,520
2018-01-23,500
2018-01-24,574
2018-01-25,569
2018-01-26,645
2018-01-27,485
2018-01-28,385
2018-01-29,495
2018-01-30,546
2018-01-31,563
2018-02-01,549
2018-02-02,573
2018-02-03,453
2018-02-04,520
2018-02-05,677
2018-02-06,503
2018-02-07,621
2018-02-08,571
2018-02-09,553
2018-02-10,520
2018-02-11,452
2018-02-12,503
2018-02-13,577
2018-02-14,624
2018-02-15,599
2018-02-16,546
2018-02-17,569
2018-02-18,438
2018-02-19,420
2018-02-20,492
2018-02-21,567
2018-02-22,510
2018-02-23,519
2018-02-24,512
2018-02-25,428
2018-02-26,521
2018-02-27,594
2018-02-28,606
2018-03-01,582
2018-03-02,835
2018-03-03,556
2018-03-04,438
2018-03-05,581
2018-03-06,646
2018-03-07,490
2018-03-08,594
2018-03-09,701
2018-03-10,536
2018-03-11,440
2018-03-12,645
2018-03-13,539
2018-03-14,526
2018-03-15,630
2018-03-16,714
2018-03-17,533
2018-03-18,496
2018-03-19,647
2018-03-20,551
2018-03-21,449
2018-03-22,712
2018-03-23,696
2018-03-24,516
2018-03-25,460
2018-03-26,666
2018-03-27,586
2018-03-28,582
2018-03-29,579
2018-03-30,534
2018-03-31,561
2018-04-01,380
2018-04-02,514
2018-04-03,513
2018-04-04,522
2018-04-05,505
2018-04-06,483
2018-04-07,460
2018-04-08,444
2018-04-09,581
2018-04-10,637
2018-04-11,565
2018-04-12,561
2018-04-13,699
2018-04-14,585
2018-04-15,485
2018-04-16,691
2018-04-17,571
2018-04-18,610
2018-04-19,663
2018-04-20,669
2018-04-21,555
2018-04-22,536
2018-04-23,631
2018-04-24,629
2018-04-25,582
2018-04-26,689
2018-04-27,640
2018-04-28,577
2018-04-29,481
2018-04-30,621
2018-05-01,672
2018-05-02,740
2018-05-03,738
2018-05-04,685
2018-05-05,577
2018-05-06,462
2018-05-07,653
2018-05-08,673
2018-05-09,651
2018-05-10,625
2018-05-11,754
2018-05-12,562
2018-05-13,505
2018-05-14,654
2018-05-15,720
2018-05-16,641
2018-05-17,690
2018-05-18,565
2018-05-19,545
2018-05-20,545
2018-05-21,583
2018-05-22,641
2018-05-23,690
2018-05-24,714
2018-05-25,754
2018-05-26,571
2018-05-27,463
2018-05-28,381
2018-05-29,741
2018-05-30,673
2018-05-31,658
2018-06-01,703
2018-06-02,595
2018-06-03,496
2018-06-04,650
2018-06-05,639
2018-06-06,621
2018-06-07,655
2018-06-08,712
2018-06-09,671
2018-06-10,502
2018-06-11,638
2018-06-12,654
2018-06-13,650
2018-06-14,771
2018-06-15,679
2018-06-16,634
2018-06-17,598
2018-06-18,749
2018-06-19,765
2018-06-20,662
2018-06-21,768
2018-06-22,694
2018-06-23,491
2018-06-24,526
2018-06-25,687
2018-06-26,715
2018-06-27,505
2018-06-28,705
2018-06-29,783
2018-06-30,619
2018-07-01,529
2018-07-02,682
2018-07-03,628
2018-07-04,380
2018-07-05,685
2018-07-06,618
2018-07-07,504
2018-07-08,508
2018-07-09,631
2018-07-10,690
2018-07-11,578
2018-07-12,590
2018-07-13,677
2018-07-14,553
2018-07-15,525
2018-07-16,677
2018-07-17,638
2018-07-18,637
2018-07-19,695
2018-07-20,659
2018-07-21,585
2018-07-22,513
2018-07-23,576
2018-07-24,617
2018-07-25,615
2018-07-26,559
2018-07-27,710
2018-07-28,611
2018-07-29,439
2018-07-30,546
2018-07-31,673
2018-08-01,622
2018-08-02,681
2018-08-03,706
2018-08-04,573
2018-08-05,530
2018-08-06,593
2018-08-07,624
2018-08-08,618
2018-08-09,672
2018-08-10,665
2018-08-11,530
2018-08-12,469
2018-08-13,584
2018-08-14,658
2018-08-15,613
2018-08-16,606
2018-08-17,660
2018-08-18,554
2018-08-19,456
2018-08-20,522
2018-08-21,546
2018-08-22,563
2018-08-23,574
2018-08-24,643
2018-08-25,526
2018-08-26,500
2018-08-27,609
2018-08-28,674
2018-08-29,639
2018-08-30,692
2018-08-31,583
2018-09-01,513
2018-09-02,503
2018-09-03,505
2018-09-04,745
2018-09-05,723
2018-09-06,777
2018-09-07,640
2018-09-08,539
2018-09-09,521
2018-09-10,603
2018-09-11,513
2018-09-12,721
2018-09-13,684
2018-09-14,649
2018-09-15,564
2018-09-16,566
2018-09-17,634
2018-09-18,686
2018-09-19,485
2018-09-20,600
2018-09-21,655
2018-09-22,503
2018-09-23,431
2018-09-24,563
2018-09-25,658
2018-09-26,683
2018-09-27,612
2018-09-28,645
2018-09-29,547
2018-09-30,481
2018-10-01,538
2018-10-02,574
2018-10-03,720
2018-10-04,652
2018-10-05,731
2018-10-06,497
2018-10-07,480
2018-10-08,470
2018-10-09,569
2018-10-10,651
2018-10-11,671
2018-10-12,760
2018-10-13,517
2018-10-14,477
2018-10-15,643
2018-10-16,622
2018-10-17,631
2018-10-18,668
2018-10-19,713
2018-10-20,579
2018-10-21,536
2018-10-22,599
2018-10-23,621
2018-10-24,662
2018-10-25,695
2018-10-26,687
2018-10-27,696
2018-10-28,518
2018-10-29,639
2018-10-30,660
2018-10-31,594
2018-11-01,645
2018-11-02,678
2018-11-03,602
2018-11-04,459
2018-11-05,702
2018-11-06,628
2018-11-07,648
2018-11-08,587
2018-11-09,803
2018-11-10,557
2018-11-11,464
2018-11-12,459
2018-11-13,702
2018-11-14,638
2018-11-15,993
2018-11-16,670
2018-11-17,505
2018-11-18,442
2018-11-19,642
2018-11-20,632
2018-11-21,665
2018-11-22,379
2018-11-23,442
2018-11-24,491
2018-11-25,449
2018-11-26,686
2018-11-27,555
2018-11-28,535
2018-11-29,595
2018-11-30,666
2018-12-01,562
2018-12-02,508
2018-12-03,626
2018-12-04,623
2018-12-05,599
2018-12-06,624
2018-12-07,642
2018-12-08,614
2018-12-09,425
2018-12-10,609
2018-12-11,629
2018-12-12,571
2018-12-13,622
2018-12-14,775
2018-12-15,572
2018-12-16,562
2018-12-17,631
2018-12-18,688
2018-12-19,687
2018-12-20,741
2018-12-21,715
2018-12-22,516
2018-12-23,471
2018-12-24,526
2018-12-25,303
2018-12-26,476
2018-12-27,536
2018-12-28,612
2018-12-29,462
2018-12-30,376
2018-12-31,572
