,CRASHES
2019-01-01,5
2019-01-02,5
2019-01-03,4
2019-01-04,8
2019-01-05,1
2019-01-06,5
2019-01-07,8
2019-01-08,3
2019-01-09,4
2019-01-10,2
2019-01-11,6
2019-01-12,7
2019-01-13,5
2019-01-14,7
2019-01-15,5
2019-01-16,5
2019-01-17,2
2019-01-18,4
2019-01-19,9
2019-01-20,10
2019-01-21,3
2019-01-22,5
2019-01-23,8
2019-01-24,6
2019-01-25,2
2019-01-26,7
2019-01-27,7
2019-01-28,5
2019-01-29,10
2019-01-30,6
2019-01-31,8
2019-02-01,2
2019-02-02,3
2019-02-03,1
2019-02-04,8
2019-02-05,5
2019-02-06,11
2019-02-07,5
2019-02-08,5
2019-02-09,8
2019-02-10,3
2019-02-11,3
2019-02-12,1
2019-02-13,11
2019-02-14,6
2019-02-15,13
2019-02-16,9
2019-02-17,7
2019-02-18,3
2019-02-19,14
2019-02-20,5
2019-02-21,12
2019-02-22,7
2019-02-23,6
2019-02-24,2
2019-02-25,8
2019-02-26,8
2019-02-27,2
2019-02-28,8
2019-03-01,13
2019-03-02,2
2019-03-03,8
2019-03-04,5
2019-03-05,3
2019-03-06,5
2019-03-07,5
2019-03-08,10
2019-03-09,12
2019-03-10,7
2019-03-11,12
2019-03-12,7
2019-03-13,8
2019-03-14,14
2019-03-15,9
2019-03-16,7
2019-03-17,10
2019-03-18,9
2019-03-19,11
2019-03-20,8
2019-03-21,5
2019-03-22,11
2019-03-23,8
2019-03-24,9
2019-03-25,3
2019-03-26,10
2019-03-27,6
2019-03-28,6
2019-03-29,5
2019-03-30,4
2019-03-31,4
2019-04-01,1
2019-04-02,8
2019-04-03,10
2019-04-04,7
2019-04-05,7
2019-04-06,10
2019-04-07,9
2019-04-08,7
2019-04-09,3
2019-04-10,9
2019-04-11,4
2019-04-12,11
2019-04-13,3
2019-04-14,3
2019-04-15,9
2019-04-16,10
2019-04-17,11
2019-04-18,11
2019-04-19,9
2019-04-20,10
2019-04-21,5
2019-04-22,11
2019-04-23,6
2019-04-24,11
2019-04-25,9
2019-04-26,7
2019-04-27,8
2019-04-28,7
2019-04-29,6
2019-04-30,7
2019-05-01,4
2019-05-02,9
2019-05-03,11
2019-05-04,5
2019-05-05,3
2019-05-06,11
2019-05-07,6
2019-05-08,5
2019-05-09,13
2019-05-10,8
2019-05-11,7
2019-05-12,9
2019-05-13,12
2019-05-14,9
2019-05-15,10
2019-05-16,8
2019-05-17,11
2019-05-18,5
2019-05-19,8
2019-05-20,7
2019-05-21,9
2019-05-22,11
2019-05-23,15
2019-05-24,13
2019-05-25,8
2019-05-26,6
2019-05-28,9
2019-05-29,7
2019-05-30,12
2019-05-31,10
2019-06-01,5
2019-06-02,3
2019-06-03,7
2019-06-04,12
2019-06-05,10
2019-06-06,10
2019-06-07,9
2019-06-08,4
2019-06-09,8
2019-06-10,10
2019-06-11,9
2019-06-12,9
2019-06-13,9
2019-06-14,11
2019-06-15,5
2019-06-16,6
2019-06-17,5
2019-06-18,7
2019-06-19,8
2019-06-20,6
2019-06-21,7
2019-06-22,9
2019-06-23,8
2019-06-24,9
2019-06-25,4
2019-06-26,13
2019-06-27,9
2019-06-28,16
2019-06-29,4
2019-06-30,11
2019-07-01,5
2019-07-02,5
2019-07-03,8
2019-07-04,2
2019-07-05,5
2019-07-06,4
2019-07-07,2
2019-07-08,3
2019-07-09,5
2019-07-10,11
2019-07-11,12
2019-07-12,11
2019-07-13,7
2019-07-14,2
2019-07-15,9
2019-07-16,12
2019-07-17,9
2019-07-18,11
2019-07-19,13
2019-07-20,8
2019-07-21,5
2019-07-22,13
2019-07-23,6
2019-07-24,10
2019-07-25,10
2019-07-26,10
2019-07-27,6
2019-07-28,6
2019-07-29,13
2019-07-30,3
2019-07-31,11
2019-08-01,10
2019-08-02,10
2019-08-03,10
2019-08-04,5
2019-08-05,7
2019-08-06,5
2019-08-07,10
2019-08-08,9
2019-08-09,5
2019-08-10,3
2019-08-11,4
2019-08-12,9
2019-08-13,8
2019-08-14,9
2019-08-15,13
2019-08-16,3
2019-08-17,4
2019-08-18,7
2019-08-19,8
2019-08-20,6
2019-08-21,9
2019-08-22,6
2019-08-23,10
2019-08-24,8
2019-08-25,8
2019-08-26,5
2019-08-27,4
2019-08-28,8
2019-08-29,10
2019-08-30,4
2019-08-31,1
2019-09-01,3
2019-09-02,2
2019-09-03,6
2019-09-04,4
2019-09-05,1
2019-09-06,11
2019-09-07,9
2019-09-09,11
2019-09-10,7
2019-09-11,9
2019-09-12,9
2019-09-13,15
2019-09-14,13
2019-09-15,6
2019-09-16,7
2019-09-17,6
2019-09-18,7
2019-09-19,6
2019-09-20,11
2019-09-21,4
2019-09-22,11
2019-09-23,6
2019-09-24,9
2019-09-25,6
2019-09-26,6
2019-09-27,7
2019-09-28,13
2019-09-29,5
2019-09-30,3
2019-10-01,4
2019-10-02,4
2019-10-03,9
2019-10-04,9
2019-10-05,11
2019-10-06,13
2019-10-07,6
2019-10-08,4
2019-10-09,4
2019-10-10,4
2019-10-11,11
2019-10-12,7
2019-10-13,7
2019-10-14,3
2019-10-15,4
2019-10-16,6
2019-10-17,7
2019-10-18,4
2019-10-19,8
2019-10-20,8
2019-10-21,7
2019-10-22,7
2019-10-23,10
2019-10-24,5
2019-10-25,7
2019-10-26,7
2019-10-27,5
2019-10-28,6
2019-10-29,5
2019-10-30,10
2019-10-31,6
2019-11-01,6
2019-11-02,3
2019-11-03,4
2019-11-04,7
2019-11-05,2
2019-11-06,1
2019-11-07,13
2019-11-08,12
2019-11-09,10
2019-11-10,3
2019-11-11,5
2019-11-12,8
2019-11-13,7
2019-11-14,5
2019-11-15,5
2019-11-16,7
2019-11-17,6
2019-11-18,7
2019-11-19,6
2019-11-20,8
2019-11-21,7
2019-11-22,8
2019-11-23,4
2019-11-24,6
2019-11-25,6
2019-11-26,7
2019-11-27,6
2019-11-28,5
2019-11-29,5
2019-11-30,12
2019-12-01,3
2019-12-02,5
2019-12-03,8
2019-12-04,2
2019-12-05,4
2019-12-06,7
2019-12-07,10
2019-12-08,5
2019-12-09,6
2019-12-10,6
2019-12-11,7
2019-12-12,7
2019-12-13,6
2019-12-14,6
2019-12-15,7
2019-12-16,6
2019-12-17,8
2019-12-18,11
2019-12-19,5
2019-12-20,6
2019-12-21,10
2019-12-22,5
2019-12-23,9
2019-12-24,1
2019-12-25,2
2019-12-26,3
2019-12-27,4
2019-12-28,4
2019-12-29,2
2019-12-30,5
2019-12-31,1
